Condition	Block	Frequency	Timing File	Info	TaskObject#1	TaskObject#2	TaskObject#3
168	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',7.8571,'n_beeps',15,'isis_mean',0.5077,'isis_std',0.0342,'practice',0,'beep_wav_index',168	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0168.wav')
169	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',5.6469,'n_beeps',11,'isis_mean',0.5097,'isis_std',0.07,'practice',0,'beep_wav_index',169	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0169.wav')
170	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',4.4275,'n_beeps',9,'isis_mean',0.4972,'isis_std',0.02,'practice',0,'beep_wav_index',170	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0170.wav')
171	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',3.9595,'n_beeps',8,'isis_mean',0.5085,'isis_std',0.0231,'practice',0,'beep_wav_index',171	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0171.wav')
172	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',7.2333,'n_beeps',14,'isis_mean',0.5026,'isis_std',0.0237,'practice',0,'beep_wav_index',172	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0172.wav')
173	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',5.388,'n_beeps',11,'isis_mean',0.4838,'isis_std',0.037,'practice',0,'beep_wav_index',173	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0173.wav')
174	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',9.4219,'n_beeps',18,'isis_mean',0.5013,'isis_std',0.0593,'practice',0,'beep_wav_index',174	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0174.wav')
175	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',4.9087,'n_beeps',10,'isis_mean',0.4899,'isis_std',0.0789,'practice',0,'beep_wav_index',175	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0175.wav')
176	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',7.2526,'n_beeps',14,'isis_mean',0.504,'isis_std',0.0859,'practice',0,'beep_wav_index',176	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0176.wav')
177	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',9.2473,'n_beeps',18,'isis_mean',0.491,'isis_std',0.0715,'practice',0,'beep_wav_index',177	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0177.wav')
178	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',8.3056,'n_beeps',16,'isis_mean',0.5004,'isis_std',0.0225,'practice',0,'beep_wav_index',178	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0178.wav')
179	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',6.1,'n_beeps',12,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',179	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0179.wav')
180	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',5.4428,'n_beeps',11,'isis_mean',0.4893,'isis_std',0.0488,'practice',0,'beep_wav_index',180	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0180.wav')
